Stage,Location,RelativeName,RelativeCategory,RevelationOrMilestone,PrimaryEnemies,Boss,BossWeakness,MissionHook,PowerUnlocked,MapFeatures,StealthTip,ShamanWisdom
31,Skyforge Pinnacle,Cousin Miri,children,,"Swarm Spiders, Iron Mauler",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Miri from Skyforge Pinnacle. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
32,Mirage Dunes,Sister Lyra,women,,"Razor Eagles, Bollock Raider",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Sister Lyra from Mirage Dunes. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
33,Mirewatch,Cousin Niko,men,,"Ash Scorpions, Rift Scout, Stormcaller",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Cousin Niko from Mirewatch. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
34,Copperhold,Cousin Poro,children,,"Blight Boars, Sand Rider",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Poro from Copperhold. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
35,Driftwood Quay,Niece Yani,children,,"Swarm Spiders, Shock Lancer",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Niece Yani from Driftwood Quay. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
36,Flintgate,Nephew Zed,children,,"Feral Wolfpack, Siege Grenadier, Bone Shaman",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Nephew Zed from Flintgate. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
37,Glowfen,Niece Pina,children,,"Ash Scorpions, Shock Lancer",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Niece Pina from Glowfen. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
38,Phantom Quarries,Uncle Garr,men,,"Tide Serpents, Shock Lancer",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Uncle Garr from Phantom Quarries. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
39,Stormveil Arches,Aunt Talia,women,,"Grim Bears, Shadow Archer, Phantom Blade",Storm Titan Oxx,Grounded by conductive chains,Rescue Aunt Talia from Stormveil Arches. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
40,Flarecoast,Nephew Iko,children,,"Swarm Spiders, Rift Scout",Beastmother Siva,Distract cubs; strike when she turns,Rescue Nephew Iko from Flarecoast. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
41,Oracle Steps,Uncle Joran,men,,"Ash Scorpions, Sand Rider",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Uncle Joran from Oracle Steps. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
42,Boulderrest,Cousin Vela,women,,"Ash Scorpions, Bollock Raider, Stormcaller",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Cousin Vela from Boulderrest. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
43,Saltspire,Brother Kael,men,,"Tide Serpents, Shadow Archer",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Brother Kael from Saltspire. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
44,Wolfpine,Cousin Lumo,children,,"Ash Scorpions, Shock Lancer",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Lumo from Wolfpine. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
45,Glacier Rim,Cousin Rini,children,,"Razor Eagles, Shadow Archer, Bone Shaman",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Rini from Glacier Rim. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
46,Echodrift,Niece Sumi,children,,"Blight Boars, Siege Grenadier",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Niece Sumi from Echodrift. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
47,Brimstone Pits,Cousin Daro,men,,"Feral Wolfpack, Sand Rider",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Daro from Brimstone Pits. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
48,Larkspur Heights,Nephew Tajo,children,,"Swarm Spiders, Rift Scout, Golem Wrangler",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Nephew Tajo from Larkspur Heights. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
49,Brazen Yard,Cousin Bram,men,,"Feral Wolfpack, Shadow Archer",Storm Titan Oxx,Grounded by conductive chains,Rescue Cousin Bram from Brazen Yard. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
50,Mistwatch,Cousin Miri,children,Arc milestone at Stage 50: hidden sigil fragment recovered.,"Ash Scorpions, Hex Warlock",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Miri from Mistwatch. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
51,Ashenport Docks,Uncle Fen,men,,"Swarm Spiders, Shock Lancer, Dread Corsair",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Uncle Fen from Ashenport Docks. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
52,Obsidian Bazaar,Aunt Kira,women,,"Ash Scorpions, Shadow Archer",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Aunt Kira from Obsidian Bazaar. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
53,Sapphire Cliffs,Aunt Leena,women,,"Grim Bears, Shock Lancer",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Aunt Leena from Sapphire Cliffs. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
54,Ember Hollow,Cousin Tor,men,,"Tide Serpents, Siege Grenadier, Golem Wrangler",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Tor from Ember Hollow. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
55,Verdant Sprawl,Cousin Poro,children,,"Razor Eagles, Shock Lancer",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Poro from Verdant Sprawl. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
56,Gale Citadel,Sister Mira,women,,"Feral Wolfpack, Siege Grenadier",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Sister Mira from Gale Citadel. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
57,Moonveil Ruins,Niece Yani,children,,"Ash Scorpions, Hex Warlock, Crimson Pyromancer",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Niece Yani from Moonveil Ruins. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
58,Crimson Steppe,Brother Iven,men,,"Blight Boars, Rift Scout",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Brother Iven from Crimson Steppe. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
59,Ironroot Mines,Nephew Zed,children,,"Ash Scorpions, Sand Rider",Storm Titan Oxx,Grounded by conductive chains,Rescue Nephew Zed from Ironroot Mines. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
60,Stormglass Keep,Niece Pina,children,,"Ash Scorpions, Rift Scout, Crimson Pyromancer",Beastmother Siva,Distract cubs; strike when she turns,Rescue Niece Pina from Stormglass Keep. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
61,Dune Sea Outpost,Nephew Iko,children,,"Blight Boars, Bollock Raider",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Nephew Iko from Dune Sea Outpost. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
62,Rivergate,Uncle Rold,men,,"Grim Bears, Iron Mauler",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Uncle Rold from Rivergate. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
63,Frostfang Tundra,Cousin Lumo,children,,"Ash Scorpions, Bollock Raider, Stormcaller",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Cousin Lumo from Frostfang Tundra. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
64,Sunspire Plateau,Cousin Niko,men,,"Tide Serpents, Bollock Raider",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Niko from Sunspire Plateau. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
65,Whispering Marsh,Cousin Aria,women,,"Ash Scorpions, Bollock Raider",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Aria from Whispering Marsh. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
66,Nightorch Yard,Cousin Rini,children,,"Razor Eagles, Rift Scout, Crimson Pyromancer",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Cousin Rini from Nightorch Yard. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
67,Cobalt Narrows,Niece Sumi,children,,"Ash Scorpions, Siege Grenadier",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Niece Sumi from Cobalt Narrows. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
68,Thornmere,Uncle Garr,men,,"Grim Bears, Rift Scout",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Uncle Garr from Thornmere. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
69,Aurora Crater,Nephew Tajo,children,,"Blight Boars, Rift Scout, Blight Captain",Storm Titan Oxx,Grounded by conductive chains,Rescue Nephew Tajo from Aurora Crater. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
70,Seabreak Fort,Cousin Miri,children,,"Grim Bears, Iron Mauler",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Miri from Seabreak Fort. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
71,Shattered Causeway,Cousin Poro,children,,"Frost Lynxes, Shock Lancer",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Poro from Shattered Causeway. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
72,Hushwind Grove,Cousin Nyla,women,,"Razor Eagles, Iron Mauler, Phantom Blade",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Cousin Nyla from Hushwind Grove. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
73,Cobalt Reef,Niece Yani,children,,"Swarm Spiders, Hex Warlock",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Niece Yani from Cobalt Reef. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
74,Ivory Bastion,Nephew Zed,children,,"Grim Bears, Bollock Raider",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Nephew Zed from Ivory Bastion. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
75,Hearthfall Town,Uncle Joran,men,,"Swarm Spiders, Shock Lancer, Blight Captain",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Uncle Joran from Hearthfall Town. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
76,Starfall Observatory,Aunt Rhea,women,,"Ash Scorpions, Iron Mauler",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Aunt Rhea from Starfall Observatory. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
77,Ravenwall,Niece Pina,children,,"Blight Boars, Sand Rider",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Niece Pina from Ravenwall. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
78,Hollow Reef,Cousin Sera,women,,"Feral Wolfpack, Rift Scout, Phantom Blade",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Sera from Hollow Reef. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
79,Quartz Bazaar,Brother Kael,men,,"Feral Wolfpack, Shadow Archer",Storm Titan Oxx,Grounded by conductive chains,Rescue Brother Kael from Quartz Bazaar. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
80,Gloombridge,Nephew Iko,children,,"Frost Lynxes, Rift Scout",Beastmother Siva,Distract cubs; strike when she turns,Rescue Nephew Iko from Gloombridge. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
81,Skyforge Pinnacle,Cousin Lumo,children,,"Swarm Spiders, Bollock Raider, Dread Corsair",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Lumo from Skyforge Pinnacle. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
82,Mirage Dunes,Sister Lyra,women,,"Ash Scorpions, Siege Grenadier",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Sister Lyra from Mirage Dunes. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
83,Mirewatch,Aunt Talia,women,,"Ash Scorpions, Rift Scout",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Aunt Talia from Mirewatch. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
84,Copperhold,Cousin Daro,men,,"Swarm Spiders, Shock Lancer, Obsidian Knight",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Daro from Copperhold. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
85,Driftwood Quay,Cousin Rini,children,,"Tide Serpents, Siege Grenadier",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Rini from Driftwood Quay. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
86,Flintgate,Niece Sumi,children,,"Ash Scorpions, Bollock Raider",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Niece Sumi from Flintgate. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
87,Glowfen,Cousin Vela,women,,"Grim Bears, Shock Lancer, Dread Corsair",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Vela from Glowfen. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
