Stage,Location,RelativeName,RelativeCategory,RevelationOrMilestone,PrimaryEnemies,Boss,BossWeakness,MissionHook,PowerUnlocked,MapFeatures,StealthTip,ShamanWisdom
11,Dune Sea Outpost,Sister Lyra,women,,"Razor Eagles, Rift Scout",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Sister Lyra from Dune Sea Outpost. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
12,Rivergate,Cousin Daro,men,,"Razor Eagles, Hex Warlock, Phantom Blade",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Cousin Daro from Rivergate. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
13,Frostfang Tundra,Aunt Talia,women,,"Tide Serpents, Shadow Archer",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Aunt Talia from Frostfang Tundra. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
14,Sunspire Plateau,Cousin Lumo,children,,"Ash Scorpions, Sand Rider",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Lumo from Sunspire Plateau. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
15,Whispering Marsh,Cousin Bram,men,,"Frost Lynxes, Rift Scout, Crimson Pyromancer",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Bram from Whispering Marsh. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
16,Nightorch Yard,Cousin Vela,women,,"Blight Boars, Shadow Archer",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Cousin Vela from Nightorch Yard. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
17,Cobalt Narrows,Cousin Rini,children,,"Tide Serpents, Shock Lancer",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Rini from Cobalt Narrows. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
18,Thornmere,Aunt Kira,women,,"Frost Lynxes, Bollock Raider, Dread Corsair",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Aunt Kira from Thornmere. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
19,Aurora Crater,Uncle Fen,men,,"Tide Serpents, Bollock Raider",Storm Titan Oxx,Grounded by conductive chains,Rescue Uncle Fen from Aurora Crater. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
20,Seabreak Fort,Aunt Leena,women,,"Blight Boars, Bollock Raider",Beastmother Siva,Distract cubs; strike when she turns,Rescue Aunt Leena from Seabreak Fort. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
21,Shattered Causeway,Cousin Tor,men,,"Tide Serpents, Shock Lancer, Obsidian Knight",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Tor from Shattered Causeway. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
22,Hushwind Grove,Niece Sumi,children,,"Frost Lynxes, Shock Lancer",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Niece Sumi from Hushwind Grove. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
23,Cobalt Reef,Brother Iven,men,,"Tide Serpents, Hex Warlock",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Brother Iven from Cobalt Reef. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
24,Ivory Bastion,Nephew Tajo,children,,"Swarm Spiders, Shadow Archer, Bone Shaman",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Nephew Tajo from Ivory Bastion. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
25,Hearthfall Town,Cousin Miri,children,,"Swarm Spiders, Shadow Archer",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Miri from Hearthfall Town. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
26,Starfall Observatory,Cousin Poro,children,,"Swarm Spiders, Sand Rider",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Cousin Poro from Starfall Observatory. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
27,Ravenwall,Sister Mira,women,,"Tide Serpents, Shock Lancer, Stormcaller",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Sister Mira from Ravenwall. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
28,Hollow Reef,Cousin Aria,women,,"Grim Bears, Iron Mauler",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Aria from Hollow Reef. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
29,Quartz Bazaar,Niece Yani,children,,"Grim Bears, Sand Rider",Storm Titan Oxx,Grounded by conductive chains,Rescue Niece Yani from Quartz Bazaar. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
30,Gloombridge,Uncle Rold,men,,"Swarm Spiders, Bollock Raider, Stormcaller",Beastmother Siva,Distract cubs; strike when she turns,Rescue Uncle Rold from Gloombridge. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
31,Skyforge Pinnacle,Cousin Nyla,women,,"Feral Wolfpack, Sand Rider",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Nyla from Skyforge Pinnacle. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
32,Mirage Dunes,Aunt Rhea,women,,"Frost Lynxes, Shock Lancer",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Aunt Rhea from Mirage Dunes. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
33,Mirewatch,Cousin Sera,women,,"Tide Serpents, Shadow Archer, Dread Corsair",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Cousin Sera from Mirewatch. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
34,Copperhold,Nephew Zed,children,,"Swarm Spiders, Siege Grenadier",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Nephew Zed from Copperhold. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
35,Driftwood Quay,Niece Pina,children,,"Grim Bears, Siege Grenadier",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Niece Pina from Driftwood Quay. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
36,Flintgate,Cousin Niko,men,,"Ash Scorpions, Rift Scout, Dread Corsair",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Cousin Niko from Flintgate. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
37,Glowfen,Uncle Garr,men,,"Blight Boars, Rift Scout",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Uncle Garr from Glowfen. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
38,Phantom Quarries,Uncle Joran,men,,"Blight Boars, Bollock Raider",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Uncle Joran from Phantom Quarries. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
39,Stormveil Arches,Brother Kael,men,,"Feral Wolfpack, Shock Lancer, Dread Corsair",Storm Titan Oxx,Grounded by conductive chains,Rescue Brother Kael from Stormveil Arches. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
40,Flarecoast,Sister Lyra,women,,"Razor Eagles, Sand Rider",Beastmother Siva,Distract cubs; strike when she turns,Rescue Sister Lyra from Flarecoast. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
41,Oracle Steps,Cousin Daro,men,,"Swarm Spiders, Rift Scout",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Daro from Oracle Steps. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
42,Boulderrest,Cousin Bram,men,,"Tide Serpents, Sand Rider, Obsidian Knight",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Cousin Bram from Boulderrest. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
43,Saltspire,Uncle Fen,men,,"Razor Eagles, Sand Rider",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Uncle Fen from Saltspire. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
44,Wolfpine,Aunt Talia,women,,"Feral Wolfpack, Sand Rider",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Aunt Talia from Wolfpine. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
45,Glacier Rim,Cousin Tor,men,,"Ash Scorpions, Rift Scout, Golem Wrangler",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Tor from Glacier Rim. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
46,Echodrift,Brother Iven,men,,"Grim Bears, Rift Scout",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Brother Iven from Echodrift. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
47,Brimstone Pits,Cousin Vela,women,,"Razor Eagles, Shadow Archer",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Vela from Brimstone Pits. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
48,Larkspur Heights,Nephew Iko,children,,"Ash Scorpions, Shadow Archer, Obsidian Knight",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Nephew Iko from Larkspur Heights. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
49,Brazen Yard,Uncle Rold,men,,"Feral Wolfpack, Iron Mauler",Storm Titan Oxx,Grounded by conductive chains,Rescue Uncle Rold from Brazen Yard. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
50,Mistwatch,Aunt Kira,women,Arc milestone at Stage 50: hidden sigil fragment recovered.,"Feral Wolfpack, Bollock Raider",Beastmother Siva,Distract cubs; strike when she turns,Rescue Aunt Kira from Mistwatch. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
51,Ashenport Docks,Cousin Lumo,children,,"Swarm Spiders, Siege Grenadier, Obsidian Knight",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Lumo from Ashenport Docks. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
52,Obsidian Bazaar,Cousin Niko,men,,"Blight Boars, Siege Grenadier",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Cousin Niko from Obsidian Bazaar. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
53,Sapphire Cliffs,Uncle Garr,men,,"Blight Boars, Shock Lancer",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Uncle Garr from Sapphire Cliffs. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
54,Ember Hollow,Aunt Leena,women,,"Tide Serpents, Sand Rider, Stormcaller",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Aunt Leena from Ember Hollow. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
55,Verdant Sprawl,Uncle Joran,men,,"Tide Serpents, Bollock Raider",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Uncle Joran from Verdant Sprawl. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
56,Gale Citadel,Sister Mira,women,,"Blight Boars, Sand Rider",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Sister Mira from Gale Citadel. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
57,Moonveil Ruins,Cousin Aria,women,,"Frost Lynxes, Hex Warlock, Dread Corsair",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Aria from Moonveil Ruins. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
58,Crimson Steppe,Cousin Nyla,women,,"Frost Lynxes, Shadow Archer",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Nyla from Crimson Steppe. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
59,Ironroot Mines,Aunt Rhea,women,,"Ash Scorpions, Sand Rider",Storm Titan Oxx,Grounded by conductive chains,Rescue Aunt Rhea from Ironroot Mines. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
60,Stormglass Keep,Cousin Sera,women,,"Razor Eagles, Hex Warlock, Crimson Pyromancer",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Sera from Stormglass Keep. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
61,Dune Sea Outpost,Sister Lyra,women,,"Frost Lynxes, Shock Lancer",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Sister Lyra from Dune Sea Outpost. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
62,Rivergate,Aunt Talia,women,,"Feral Wolfpack, Rift Scout",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Aunt Talia from Rivergate. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
63,Frostfang Tundra,Cousin Vela,women,,"Blight Boars, Shock Lancer, Dread Corsair",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Cousin Vela from Frostfang Tundra. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
64,Sunspire Plateau,Cousin Rini,children,,"Ash Scorpions, Siege Grenadier",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Rini from Sunspire Plateau. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
65,Whispering Marsh,Aunt Kira,women,,"Frost Lynxes, Shock Lancer",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Aunt Kira from Whispering Marsh. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
66,Nightorch Yard,Niece Sumi,children,,"Tide Serpents, Iron Mauler, Golem Wrangler",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Niece Sumi from Nightorch Yard. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
67,Cobalt Narrows,Brother Kael,men,,"Razor Eagles, Rift Scout",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Brother Kael from Cobalt Narrows. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
68,Thornmere,Cousin Daro,men,,"Ash Scorpions, Bollock Raider",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Daro from Thornmere. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
69,Aurora Crater,Nephew Tajo,children,,"Ash Scorpions, Shock Lancer, Bone Shaman",Storm Titan Oxx,Grounded by conductive chains,Rescue Nephew Tajo from Aurora Crater. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
70,Seabreak Fort,Cousin Bram,men,,"Ash Scorpions, Shock Lancer",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Bram from Seabreak Fort. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
71,Shattered Causeway,Aunt Leena,women,,"Blight Boars, Siege Grenadier",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Aunt Leena from Shattered Causeway. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
72,Hushwind Grove,Uncle Fen,men,,"Ash Scorpions, Hex Warlock, Dread Corsair",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Uncle Fen from Hushwind Grove. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
73,Cobalt Reef,Sister Mira,women,,"Frost Lynxes, Shadow Archer",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Sister Mira from Cobalt Reef. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
74,Ivory Bastion,Cousin Aria,women,,"Ash Scorpions, Rift Scout",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Aria from Ivory Bastion. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
75,Hearthfall Town,Cousin Nyla,women,,"Ash Scorpions, Bollock Raider, Stormcaller",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Nyla from Hearthfall Town. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
76,Starfall Observatory,Cousin Miri,children,,"Grim Bears, Hex Warlock",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Cousin Miri from Starfall Observatory. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
77,Ravenwall,Cousin Tor,men,,"Feral Wolfpack, Bollock Raider",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Tor from Ravenwall. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
78,Hollow Reef,Aunt Rhea,women,,"Frost Lynxes, Siege Grenadier, Golem Wrangler",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Aunt Rhea from Hollow Reef. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
79,Quartz Bazaar,Cousin Poro,children,,"Razor Eagles, Rift Scout",Storm Titan Oxx,Grounded by conductive chains,Rescue Cousin Poro from Quartz Bazaar. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
80,Gloombridge,Brother Iven,men,,"Grim Bears, Bollock Raider",Beastmother Siva,Distract cubs; strike when she turns,Rescue Brother Iven from Gloombridge. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
81,Skyforge Pinnacle,Uncle Rold,men,,"Blight Boars, Shock Lancer, Bone Shaman",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Uncle Rold from Skyforge Pinnacle. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
82,Mirage Dunes,Niece Yani,children,,"Feral Wolfpack, Iron Mauler",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Niece Yani from Mirage Dunes. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
83,Mirewatch,Cousin Niko,men,,"Razor Eagles, Sand Rider",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Cousin Niko from Mirewatch. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
84,Copperhold,Uncle Garr,men,,"Razor Eagles, Bollock Raider, Golem Wrangler",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Uncle Garr from Copperhold. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
85,Driftwood Quay,Uncle Joran,men,,"Frost Lynxes, Bollock Raider",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Uncle Joran from Driftwood Quay. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
86,Flintgate,Brother Kael,men,,"Frost Lynxes, Shadow Archer",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Brother Kael from Flintgate. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
87,Glowfen,Cousin Daro,men,,"Tide Serpents, Shock Lancer, Blight Captain",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Daro from Glowfen. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
